location_id,location_name,sku_id,sku_name,forecasting_method,seasonality_cycle
DC1,A,38340M844A0,S1,BestFit,6
DC1,A,16510-82703,S2,BestFit,6
DC1,A,35120M70F30,S3,BestFit,6
DC1,A,57300M74F00,S4,BestFit,6
DC1,A,3834-M944A1,S5,BestFit,6
DC1,A,99000M99503-SIL,S6,BestFit,6
DC2,B,38340M844A0,S1,BestFit,6
DC2,B,16510-82703,S2,BestFit,6
DC2,B,35120M70F30,S3,BestFit,6
DC2,B,57300M74F00,S4,BestFit,6
DC2,B,3834-M944A1,S5,BestFit,6
DC2,B,99000M99503-SIL,S6,BestFit,6
DC3,C,38340M844A0,S1,BestFit,6
DC3,C,16510-82703,S2,BestFit,6
DC3,C,35120M70F30,S3,BestFit,6
DC3,C,57300M74F00,S4,BestFit,6
DC3,C,3834-M944A1,S5,BestFit,6
DC3,C,99000M99503-SIL,S6,BestFit,6
